Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
23	0.54078966	3.0317428	8.299517	-3.837208	6.75	10.95388	59.0	0.0	300.0	29860.0	0.04147222222222222	0.20157024	0.86396945	3.526909	-3.112055	1.5327413	2.2589338	13.99	-2.0250628	6.341309e-09	-0.0070321243	5.086263e-09	-0.0100104865	0.4696686	-0.0888257	9.057522	-2.2726502	1.4315904	-0.003763914	2.4669735	0.0	1.7621689	0.009179106	720000	2993.8766856193542
24	0.92595893	3.533867	9.5597	-4.9607706	8.83	11.135577	42.0	0.0	300.0	30743.0	0.04099066666666667	0.3045774	0.9921124	3.6358535	-3.4455311	1.9684715	2.6726356	18.396925	-2.556572	-6.6110495e-09	-0.008675304	-1.0172526e-08	-0.014213995	0.5806376	-0.10830757	9.391962	-2.216886	1.4278265	-0.0041731596	2.2551203	0.0	1.7739543	0.0079805795	750000	3121.064426422119
25	1.1609999	2.9914684	8.856021	-4.7030416	7.76	10.58973	63.0	0.0	300.0	31519.0	0.04040897435897436	0.3293696	0.89627457	3.0164595	-3.0224626	2.0843098	2.6615312	17.706453	-1.7880268	-2.3901356e-09	-0.009079251	-4.0690105e-09	-0.015734635	0.59793925	-0.14597738	9.484781	-2.0570989	1.4236534	-0.005236745	2.0905344	0.0	1.7721062	0.008364759	780000	3248.657139778137
26	0.60862035	3.4938157	11.137465	-4.446997	6.24	9.21642	32.0	0.0	300.0	32143.0	0.03968271604938271	0.29834557	0.88026214	3.257307	-2.6480503	1.628874	2.4524612	17.306429	-2.3646276	-5.897619e-09	-0.0071979472	-1.2207031e-08	-0.009874894	0.47116342	-0.11115235	5.9060388	-1.633534	1.4184166	-0.007170677	2.2842932	1.0	1.754206	0.006043399	810000	3375.8155035972595
27	0.34317666	3.1431475	12.63455	-4.526697	6.24	10.408766	46.0	0.0	300.0	32767.0	0.03900833333333333	0.04718465	0.91738796	3.2286947	-3.108997	1.4568263	2.4543738	18.77267	-1.8461467	-6.792208e-09	-0.009237209	-2.0345052e-08	-0.013364487	0.51142323	-0.11150676	7.867696	-2.3246822	1.411246	-0.008921027	2.1328218	0.0	1.756562	0.008859536	840000	3503.3074412345886
28	0.6448487	3.1767929	9.3332405	-4.2161098	5.61	7.830575	34.0	0.0	300.0	33328.0	0.03830804597701149	0.14824761	0.8704148	3.0030963	-2.826917	1.5266186	2.367676	17.346022	-2.0707498	1.4406977e-09	-0.0069448706	1.0172526e-09	-0.010663034	0.55703	-0.1416693	5.4564314	-1.5461407	1.4023249	-0.010886073	2.7066023	0.0	1.7428796	0.008398702	870000	3631.2940816879272
29	0.45203736	2.715073	9.237445	-4.8294754	5.62	8.01596	34.0	0.0	300.0	33890.0	0.03765555555555555	0.17728208	0.8200677	2.825265	-2.6707723	1.221113	1.8526416	17.139687	-2.9858415	1.7014904e-09	-0.009036031	0.0	-0.01402252	0.45614636	-0.11754632	5.518307	-1.3669872	1.3914388	-0.01264143	2.1236098	0.0	1.7341448	0.008286159	900000	3758.4983682632446
30	0.3607685	3.1448781	9.940236	-4.4292464	3.86	8.125294	44.0	0.0	300.0	34276.0	0.03685591397849462	0.19044313	0.8130213	3.3045998	-2.8075116	1.2753687	1.805395	16.48613	-2.2653682	2.254817e-09	-0.0073594535	6.1035155e-09	-0.009027468	0.5972211	-0.13371	5.10064	-1.5759745	1.3787974	-0.015223026	2.3721156	0.0	1.7235956	0.008006666	930000	3886.2835681438446
31	0.75731224	3.21516	12.535438	-4.631077	3.95	6.0685663	26.0	0.0	300.0	34671.0	0.036115625	0.22243764	0.82675946	3.157463	-3.4136937	0.9750826	1.5003111	15.064295	-3.0474072	-5.08773e-10	-0.0072113834	5.086263e-09	-0.009273348	0.6133088	-0.17741051	3.5750906	-0.9403217	1.3635744	-0.017429113	2.748004	0.0	1.7123377	0.008439687	960000	4013.480402469635
32	1.3123549	3.4067652	12.24834	-4.4602466	7.98	12.277605	65.0	0.0	300.0	35469.0	0.03582727272727273	0.32893142	0.8944356	3.4009962	-2.757958	1.258637	1.7963144	14.65501	-0.6218189	-4.2357593e-09	-0.0087729925	-8.138021e-09	-0.0134495925	0.728943	-0.18337822	9.698565	-2.8131208	1.3461453	-0.017047524	2.3177025	0.0	1.7323076	0.009173966	990000	4140.533419132233
