Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
26	1.2570775	3.381919	11.053046	-4.528225	7.34	10.8593	48.0	0.0	300.0	29526.0	0.03645185185185185	0.42235318	0.88337386	3.2647793	-3.3348866	1.3376015	1.832897	13.207574	-1.4675654	7.742638e-10	-0.009168832	0.0	-0.012334993	0.56083816	-0.11141494	11.076047	-2.8081465	1.627664	0.011878371	1.9084723	0.0	1.7331808	0.0083184745	810000	2831.678926229477
27	1.3213997	2.814453	10.030357	-4.2852817	6.53	8.470484	35.0	0.0	300.0	30179.0	0.035927380952380954	0.43585613	0.86348444	3.1420624	-3.2184505	2.00715	2.5907133	20.237833	-1.703877	3.7799683e-09	-0.0077186013	4.0690105e-09	-0.011005522	0.58882594	-0.1325633	7.594469	-1.8181996	1.6395423	0.011606455	2.3831847	0.0	1.7063055	0.008102854	840000	2932.7570362091064
28	1.398461	3.196982	10.049646	-4.5253134	5.65	9.810581	52.0	0.0	300.0	30744.0	0.03533793103448276	0.482306	0.7967819	3.3642359	-2.6875062	1.7323427	2.1193721	18.550947	-2.062313	3.8370257e-10	-0.007894268	0.0	-0.012370553	0.57359314	-0.1234462	6.7895947	-1.459394	1.6511488	0.010929465	2.5482924	0.0	1.6987636	0.008394333	870000	3033.7283301353455
29	1.1012766	2.9894855	10.659461	-4.1262374	5.65	8.43134	39.0	0.0	300.0	31309.0	0.03478777777777778	0.4926294	0.82068676	3.2784643	-2.5006466	1.6385255	2.093683	16.38448	-1.884351	5.1651644e-10	-0.007836245	-4.0690105e-09	-0.012712081	0.58806604	-0.1255796	5.4064484	-1.206409	1.6620783	0.010313988	2.0944731	1.0	1.682826	0.006326779	900000	3138.8529233932495
30	1.09877	2.9885015	7.995495	-4.1131663	4.55	6.109624	21.0	0.0	300.0	31764.0	0.03415483870967742	0.46536517	0.8041325	3.062822	-2.7725935	1.4148374	1.9710845	17.004513	-1.3448508	-6.1100534e-09	-0.00764166	-9.155274e-09	-0.010431588	0.6266782	-0.1387398	4.098782	-0.967191	1.6723922	0.009184241	2.684614	0.0	1.6745937	0.007924069	930000	3244.3849759101868
31	1.2351917	3.1403	10.186978	-3.710461	4.36	6.853495	35.0	0.0	300.0	32200.0	0.033541666666666664	0.5471087	0.83869785	3.642961	-3.083515	1.2772262	1.4632283	12.994037	-0.65342736	1.0733065e-08	-0.0051967315	8.646647e-09	-0.00638787	0.78045917	-0.20098019	4.7706323	-0.8942363	1.6815765	0.008046031	3.0341382	1.0	1.6529559	0.0063790414	960000	3345.0129005908966
32	1.4860482	2.7956808	9.52689	-3.6550379	5.5	8.170068	45.0	0.0	300.0	32750.0	0.03308080808080808	0.5858464	0.824382	3.3411818	-3.507658	1.5353905	1.731022	15.283922	-1.6795192	-1.2089643e-08	-0.0071986853	-1.3224284e-08	-0.010977617	0.6518083	-0.14911616	5.526395	-1.1639552	1.6896225	0.007608652	2.812582	0.0	1.6501315	0.008012467	990000	3446.0679080486298
33	1.9258925	3.3299303	11.171351	-3.8774507	5.19	8.1470175	32.0	0.0	300.0	33269.0	0.03261666666666667	0.6620417	0.8022875	3.2761943	-2.4737453	1.52057	1.7492617	14.846018	-1.3427469	5.2350333e-09	-0.007953294	7.1207684e-09	-0.011794701	0.8955342	-0.2875818	6.1309505	-1.2327065	1.6972312	0.0070444345	2.3525102	0.0	1.6571872	0.008905214	1020000	3547.2593064308167
34	0.8285358	3.1251402	8.965225	-4.3811893	5.14	8.627885	41.0	0.0	300.0	33783.0	0.03217428571428571	0.6690439	0.88890976	3.3649626	-3.2320373	1.442589	1.701445	15.46017	-1.4956721	3.4542802e-09	-0.007851888	-4.0690105e-09	-0.0126525415	0.79391974	-0.20480478	6.529077	-1.718565	1.7042756	0.0065021515	2.5061717	0.0	1.6409051	0.008758012	1050000	3648.3595304489136
35	1.4929203	2.8510466	7.9579988	-3.4289272	4.73	7.5071373	32.0	0.0	300.0	34256.0	0.03171851851851852	0.5863352	0.8587688	3.6053035	-2.7786067	1.6226441	1.794219	15.233671	-0.6842098	3.0020981e-09	-0.007767596	0.0	-0.011283138	0.8003898	-0.17239869	5.227617	-1.4306052	1.7107778	0.0057792664	2.4997172	0.0	1.6363466	0.009010919	1080000	3749.4406406879425
