Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	0.47316676	2.8632808	6.9149594	-5.6077037	4.51	8.09876	33.0	0.0	300.0	28015.0	0.037353333333333336	0.29059932	0.8141433	3.3311646	-2.8998227	1.2972962	2.0308788	19.960253	-1.4338012	-7.465612e-09	-0.008343568	-5.086263e-09	-0.01193057	0.37506413	-0.08126816	4.964307	-0.9329052	1.6720879	0.019571304	2.1802483	0.0	1.7873372	0.008350105	750000	2633.0239486694336
25	0.7254812	2.808519	8.32977	-3.9421146	5.18	7.24069	33.0	0.0	300.0	28533.0	0.03658076923076923	0.17123333	0.7916822	2.3606246	-2.9004176	0.99614465	1.6127013	18.98305	-1.3950274	-1.4486673e-10	-0.0070085847	-2.0345052e-09	-0.010568776	0.33742824	-0.07242951	4.6188755	-0.8569498	1.6916592	0.018985868	2.662885	0.0	1.7802026	0.007933329	780000	2734.1872639656067
26	0.88339704	2.9616046	9.034372	-4.319149	5.55	8.524524	36.0	0.0	300.0	29088.0	0.03591111111111111	0.25622246	0.79624194	2.4781435	-2.679647	1.2585052	1.8455132	14.489107	-1.7381603	1.1258419e-09	-0.0072314297	0.0	-0.010507691	0.44073573	-0.08629528	5.8039474	-1.0629263	1.7106451	0.01861322	2.366206	0.0	1.7835662	0.008951994	810000	2835.0236456394196
27	0.73535734	2.9082806	11.633664	-5.3385673	5.15	8.70675	43.0	0.0	300.0	29603.0	0.035241666666666664	0.2828513	0.8088296	2.8794513	-3.0133536	1.3996797	1.9078373	13.049485	-2.0206044	-2.9003913e-09	-0.0075931093	-4.577637e-09	-0.011365452	0.5105987	-0.1034978	5.7564936	-1.5477128	1.7292583	0.018126965	2.5369728	0.0	1.7838295	0.00824304	840000	2936.0172805786133
28	0.6208235	2.915031	8.12243	-4.5492964	3.74	5.672072	27.0	0.0	300.0	29977.0	0.03445632183908046	0.28337225	0.7764934	2.718713	-2.7513728	1.0902313	1.7356104	14.586934	-2.155299	1.2752743e-08	-0.005713845	2.2379558e-08	-0.0077371113	0.5104904	-0.1262351	3.421397	-0.86239076	1.7473853	0.017106175	2.7701738	1.0	1.7784555	0.0061606606	870000	3039.830367565155
29	0.6356026	2.6412618	8.092398	-4.36374	4.99	8.987207	46.0	0.0	300.0	30476.0	0.033862222222222224	0.31532058	0.7205072	2.812146	-2.4992783	0.9507574	1.2576959	11.276774	-1.1081676	-2.5971265e-09	-0.008201155	-4.0690105e-09	-0.011329721	0.47995713	-0.1070185	7.0930333	-2.3327746	1.7644914	0.016709566	2.2111444	0.0	1.777179	0.008410225	900000	3145.620098590851
30	0.73175955	2.6805117	9.856914	-3.6456547	3.92	6.74934	27.0	0.0	300.0	30868.0	0.033191397849462366	0.30129862	0.7287667	2.7492645	-3.5278823	1.1627573	1.7800068	16.17688	-1.9482892	-3.2574624e-10	-0.00835733	-5.086263e-10	-0.011872374	0.60500866	-0.11876333	5.340491	-1.4275751	1.781201	0.015897632	2.3068626	0.0	1.775637	0.008065258	930000	3247.2657084465027
31	0.38134965	2.5044622	6.414108	-3.860774	4.07	6.8018456	38.0	0.0	300.0	31275.0	0.032578125	0.33054805	0.7115579	3.099158	-2.368911	1.0012498	1.242967	13.001522	-2.7012262	3.921427e-09	-0.007348628	6.1035155e-09	-0.010123151	0.5082371	-0.10831794	5.404578	-1.5208468	1.7970986	0.015227556	2.5690217	0.0	1.7565104	0.009285914	960000	3348.364230155945
32	0.33648977	2.9473495	11.494948	-4.019331	4.33	8.798926	55.0	0.0	300.0	31708.0	0.03202828282828283	0.2995976	0.7089073	2.6495354	-2.714267	1.1879083	1.5876093	15.087901	-1.5670079	9.765222e-09	-0.007587716	1.6276042e-08	-0.011143578	0.55079365	-0.14464572	5.499299	-1.4672894	1.8123262	0.01473856	2.4912958	0.0	1.750093	0.008312944	990000	3449.5117094516754
33	0.67063284	2.665539	8.591751	-3.6134717	5.76	9.02676	42.0	0.0	300.0	32284.0	0.031650980392156865	0.3636961	0.8055576	2.871482	-3.586809	1.1925422	1.6506993	17.608784	-0.64041054	6.6851817e-09	-0.00911716	1.4241537e-08	-0.012854675	0.5656925	-0.15443546	7.6473427	-1.7061825	1.8270648	0.014944673	2.159449	0.0	1.7265188	0.0086784465	1020000	3550.6319324970245
34	1.2611814	3.1968343	10.860896	-5.0379667	3.53	5.662959	24.0	0.0	300.0	32637.0	0.03108285714285714	0.43037468	0.7546152	2.85881	-2.815163	1.6308357	1.8490411	16.155598	-1.24603	-7.5538855e-09	-0.00799575	-1.2207031e-08	-0.011339303	0.7108163	-0.1709941	4.697497	-1.7352917	1.8420094	0.014128685	2.4912114	0.0	1.7018011	0.008641856	1050000	3651.7806537151337
35	1.2153782	2.868876	8.432162	-3.7608628	3.73	6.7436714	43.0	0.0	300.0	33010.0	0.030564814814814815	0.49481666	0.83504355	3.649573	-2.7755787	1.0800215	1.3048258	14.012389	-2.6578107	-1.1172243e-09	-0.006812357	-6.1035155e-09	-0.008782739	0.62466824	-0.12863973	3.8404207	-0.95329237	1.8561381	0.013480663	2.8133655	0.0	1.6705098	0.008325807	1080000	3752.974626302719
36	1.2841228	2.7945738	10.259158	-4.062244	3.84	7.560053	43.0	0.0	300.0	33394.0	0.030084684684684684	0.538059	0.8221266	3.3495965	-2.7490544	0.87898296	1.1975329	13.721213	-1.0609761	4.5006776e-09	-0.0068162335	1.0172526e-08	-0.0084377825	0.5508902	-0.121849	5.7373796	-1.384768	1.8696188	0.0129464865	2.2777867	1.0	1.6708813	0.0061084675	1110000	3854.129001379013
37	1.5288821	2.814562	10.355659	-3.819124	4.58	6.5759864	32.0	0.0	300.0	33852.0	0.029694736842105263	0.60705614	0.813343	3.161723	-3.0879679	1.2097507	1.5938126	14.398049	-1.9927317	-1.6276042e-08	-0.0069903345	-1.6276042e-08	-0.010932813	0.65153813	-0.13272077	4.480657	-1.2162488	1.8825653	0.012820959	2.66791	0.0	1.6509144	0.008656356	1140000	3955.0608773231506
38	1.1252856	2.797918	9.797944	-4.104717	4.71	7.8858037	41.0	0.0	300.0	34323.0	0.029335897435897436	0.58093804	0.7822885	3.0844095	-2.7449193	1.3061506	1.4896377	13.498549	-1.1996701	9.616873e-09	-0.0073776534	6.1035155e-09	-0.010622281	0.6024144	-0.15303788	5.443572	-1.8471301	1.8953862	0.012780905	2.6750972	0.0	1.6107855	0.00896465	1170000	4058.762727499008
