Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
21	9.567556	7.1651387	27.703941	-1.9735806	10.425	7.81373	51.0	0.0	150.0	50092.0	0.0758969696969697	6.5168138	2.6505072	11.053292	-1.975904	7.2086015	2.4158525	18.925892	-0.6853403	-9.409587e-09	-0.009910674	1.2715658e-08	-0.0025884558	6.951474	-0.6325369	9.826541	-1.2506847	0.3962525	0.0	0.006320343	0.01951666	0.0028333345	0.00780693	-0.0049689687	0.016608948	0.5690725	0.3962525	1.0	0.0	0.0	1.6803291	0.009646752	660000	4278.7047255039215
22	12.146132	6.7287326	27.86491	-1.951542	11.465	6.5832195	34.0	0.0	150.0	52385.0	0.07592028985507246	7.2611027	2.5523667	11.756001	-1.7749741	7.429874	2.4371958	19.78738	-1.2106432	-1.9963583e-08	-0.004431596	6.1035155e-09	-0.010829053	8.364535	-1.0594959	8.234146	-1.0732102	0.78648007	0.0	0.00527335	0.013602934	0.009766668	0.007411448	-0.005646376	0.014911179	0.62262565	0.78648007	1.0	0.0	0.0	1.6833327	0.009839262	690000	4473.511563539505
23	11.991041	6.9729156	26.259169	-1.2925966	10.93	7.3426905	38.0	0.0	150.0	54571.0	0.07579305555555556	7.8105636	2.5569365	12.175541	-1.0662671	7.401112	2.161973	17.020939	-1.1950289	1.6784668e-08	-0.007750433	3.2552084e-08	-0.00542266	7.4905834	-0.7748132	9.3046055	-0.952446	0.5077299	0.0	0.00570694	0.017120915	0.006200002	0.0064736013	-0.0031993845	0.013351473	0.57734865	0.5077299	1.0	0.0	0.0	1.6799653	0.009865139	720000	4669.316130876541
24	13.237158	6.873903	29.007326	-2.03032	11.095	6.638221	37.0	0.0	150.0	56790.0	0.07572	8.522402	2.3884385	12.39805	-0.2178614	7.6005054	2.1660686	19.881496	-1.0992215	-1.525879e-08	-0.005934564	-1.0172526e-08	-0.007711204	6.88384	-0.8253288	8.12379	-0.7340846	0.8579645	0.0	0.004674976	0.0141917495	0.0073000016	0.0061525465	-0.0036819205	0.009174884	0.5739469	0.8579645	1.0	0.0	0.0	1.6333699	0.009375988	750000	4864.357484579086
25	14.063174	6.369464	28.236591	-1.3269167	12.09	7.4082317	36.0	0.0	150.0	59208.0	0.0759076923076923	9.217148	2.3653045	12.632224	0.2854799	7.866861	2.0754735	18.940649	-0.3041354	-2.0345052e-09	0.001185142	-1.6276042e-08	-0.014464479	7.6486707	-0.82172775	9.307035	-0.8867197	1.3386456	0.0	0.004104913	0.005433105	0.0139333345	0.0065680603	-0.0057295	0.013327329	0.86921644	1.3386456	1.0	0.0	0.0	1.6216176	0.009822113	780000	5058.2046637535095
26	13.667771	6.1345706	26.922045	-1.9432983	10.55	6.472828	36.0	0.0	150.0	61318.0	0.07570123456790123	9.876707	2.0557172	13.2247095	1.3186158	8.060234	1.9608338	20.95197	1.3669679	5.086263e-09	-0.0076341224	2.0345052e-08	-0.00442434	7.1514173	-0.7379799	7.803191	-0.9393854	0.43018255	0.0	0.004191607	0.018825341	0.003666668	0.005082626	-0.0031934436	0.011445411	0.47186616	0.43018255	1.0	0.0	0.0	1.6138593	0.009918449	810000	5251.858273506165
27	13.774191	6.221077	28.55557	-1.450341	10.175	5.790024	30.0	0.0	150.0	63353.0	0.0754202380952381	9.994938	2.0316887	13.431174	1.3064641	7.6582613	1.6264056	18.706806	1.4973068	-1.0172526e-08	-0.009850068	8.138021e-09	-0.0018307373	6.1291842	-0.5622964	7.076829	-0.8061352	0.20423084	0.0	0.0047742985	0.019874224	0.0011666679	0.005022329	-0.0016383335	0.010821815	0.4901282	0.20423084	1.0	0.0	0.0	1.617234	0.009771462	840000	5445.285849094391
28	14.799629	5.8832774	26.746687	-0.8839028	11.895	7.120672	42.0	0.0	150.0	65732.0	0.07555402298850575	10.227264	2.0305893	13.6432705	1.5116689	7.5342207	1.5241768	17.2662	2.1638293	-8.138021e-09	-0.0019241404	-1.1189779e-08	-0.013080806	6.6118865	-0.7325072	8.369595	-1.1145434	1.4198313	0.0	0.005129327	0.005318407	0.012633337	0.0059727747	-0.0030280321	0.010870836	0.9820632	1.4198313	1.0	0.0	0.0	1.6154059	0.009386914	870000	5640.094640493393
29	14.13783	6.317477	27.307085	-0.92890245	11.565	6.8378196	33.0	0.0	150.0	68045.0	0.07560555555555555	10.363715	2.2316625	13.7261915	0.7565875	7.906575	2.1077292	18.559372	1.0153244	-1.2207031e-08	-0.0023700888	1.2207031e-08	-0.00894049	6.603046	-0.8348284	8.391641	-1.0701871	0.86061317	0.0	0.003267238	0.010331302	0.01043333	0.0045646564	-0.0038218973	0.011258433	0.56235796	0.86061317	1.0	0.0	1.0	1.5780294	0.007086893	900000	5834.3171763420105
30	14.751867	5.966739	27.109781	-1.305251	11.125	6.711883	30.0	0.0	150.0	70270.0	0.07555913978494623	10.746196	2.0936482	14.576592	-0.3931176	7.655752	1.8315766	18.291332	-0.1256037	-1.0172526e-09	-0.0053135357	2.6448568e-08	-0.008055078	6.2543135	-0.5826254	7.3256493	-0.86953497	0.61414015	0.0	0.0043693357	0.016072303	0.0075	0.0060355053	-0.004884858	0.014321373	0.5213971	0.61414015	1.0	0.0	0.0	1.566993	0.008362468	930000	6027.965719938278
31	15.526472	5.589014	27.688004	-0.6208421	11.525	6.6820188	35.0	0.0	150.0	72575.0	0.07559895833333333	10.939315	1.9787421	14.698339	0.57357085	7.6887217	1.870337	18.412935	1.4307883	9.155274e-09	-0.0038602904	0.0	-0.01038835	5.3924627	-0.57950497	7.8890443	-0.88285017	0.8090198	0.0	0.004134463	0.010886186	0.010166664	0.0048810295	-0.0029097965	0.011341142	0.61627096	0.8090198	1.0	0.0	0.0	1.5417631	0.009558111	960000	6221.453609228134
